Category,Gbl Prev 12Mo GSV $,Gbl Prev 12Mo Qty,Gbl Prev 12Mo Margin ($),Material,Material_base
CORDLESS GRINDER,3057069.0,67799.0,1192691.0,6,4
CRD AUTO PT,2893503.0,14338.0,1471246.0,7,7
PAINTING,2578009.0,83422.0,1377668.0,11,5
WOODWORKING OTHER,2337392.0,7083.0,1143462.0,9,2
CORDED COMBOS,1312328.0,32832.0,512574.0,3,3
OTHER,1201516.0,10092.0,462221.0,8,8
ROUTER BITS,1010879.0,33337.0,569228.0,5,5
CONCRETE OTHER,945230.0,1291.0,507426.0,5,5
CRD BLOWER/VACS,830703.0,19055.0,394068.0,7,2
CORDLESS VACS & DUST EXTRACTOR,654414.0,10050.0,313493.0,3,2
LEVELS,533000.0,125733.0,260553.0,4,2
LASERS,173198.0,1081.0,129408.0,1,1
"ROD, REBAR, & ADHESIVE INSERTS",139453.0,60205.0,62295.0,2,2
NOT IN TABLE,75828.0,5807.0,31064.0,1,1
"ACCESSORIES,HAND & POWER TOOLS",39147.0,57.0,23236.0,1,1
